LETTER ANALYSIS

Letter   Freq   Freq%   AvgFreq%   Diff
  A       29     7.9      8.2      -0.3 
  B        3     0.8      1.5      -0.7 
  C       16     4.3      2.8       1.5 
  D       19     5.2      4.3       0.9 
  E       38    10.3     12.7      -2.4 
  F        3     0.8      2.2      -1.4 
  G        3     0.8      2.0      -1.2 
  H        1     0.3      6.1      -5.8 
  I       42    11.4      7.0       4.4 
  J        0     0.0      0.2      -0.2 
  K        0     0.0      0.8      -0.8 
  L       21     5.7      4.0       1.7 
  M       17     4.6      2.4       2.2 
  N       24     6.5      6.7      -0.2 
  O       29     7.9      7.5       0.4 
  P       11     3.0      1.9       1.1 
  Q        5     1.4      0.1       1.3 
  R       22     6.0      6.0      -0.0 
  S       18     4.9      6.3      -1.4 
  T       32     8.7      9.1      -0.4 
  U       29     7.9      2.8       5.1 
  V        3     0.8      1.0      -0.2 
  W        0     0.0      2.4      -2.4 
  X        3     0.8      0.2       0.6 
  Y        0     0.0      2.0      -2.0 
  Z        0     0.0      0.1      -0.1 

The most frequent letter is I at 11.4 %
